TYPE,TRACE,A,B,C

DATE & TIME,07Nov2008 12:35AM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C
START,1425.000,1425.000,1425.000
STOP,1675.000,1675.000,1675.000
HORIZONTAL SCALE,nm,nm,nm
LENGTH (pts),1001,1001,1001
RBW (nm),0.20,0.20,0.20
VBW (Hz),194,194,194

REFERENCE LEVEL (dBm),-30.32,-30.32,-30.32
VERTICAL SCALE,dBm,dBm,dBm
SENSITIVITY (dBm),-79.87,-79.87,-79.87

AVERAGING,OFF,OFF,OFF
MIN,OFF,OFF,OFF
MAX,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1550.000
MARKER AMPLITUDE,-57.690
MARKER UNITS,dBm

INDEX,A,B,C
1,-54.101,-42.530,-52.808
2,-54.172,-42.214,-52.464
3,-54.143,-41.848,-52.396
4,-54.092,-42.215,-52.556
5,-52.958,-42.033,-52.601
6,-52.176,-41.798,-52.275
7,-52.161,-41.809,-52.507
8,-52.772,-41.833,-52.513
9,-53.099,-41.768,-52.207
10,-53.933,-41.738,-52.324
11,-54.013,-42.039,-52.384
12,-53.726,-41.915,-52.286
13,-52.830,-41.895,-51.963
14,-52.286,-42.146,-52.282
15,-51.913,-41.965,-52.390
16,-51.787,-41.860,-51.994
17,-52.918,-41.841,-52.076
18,-53.977,-42.073,-52.493
19,-53.859,-41.714,-52.134
20,-53.585,-41.646,-52.221
21,-52.930,-41.783,-52.239
22,-52.020,-41.601,-51.962
23,-51.403,-41.552,-51.741
24,-51.804,-41.784,-51.952
25,-52.388,-41.616,-51.994
26,-53.235,-41.553,-51.618
27,-53.540,-41.790,-52.100
28,-53.753,-41.822,-51.992
29,-52.368,-41.681,-51.632
30,-51.806,-41.541,-51.843
31,-51.798,-41.965,-52.088
32,-51.594,-41.586,-51.951
33,-52.089,-41.598,-51.906
34,-53.432,-41.760,-52.116
35,-53.563,-41.497,-51.795
36,-53.354,-41.550,-51.552
37,-52.728,-41.605,-51.738
38,-52.011,-41.711,-52.042
39,-51.227,-41.601,-51.714
40,-51.239,-41.458,-51.640
41,-52.161,-41.696,-51.965
42,-52.862,-41.542,-51.785
43,-53.018,-41.261,-51.525
44,-53.533,-41.640,-51.930
45,-52.892,-41.531,-51.882
46,-51.537,-41.354,-51.325
47,-51.261,-41.421,-51.539
48,-51.419,-41.413,-51.944
