TYPE,TRACE,A,B,C,D

DATE & TIME,06Nov2008 10:36PM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C,D
START,1400.000,1400.000,1400.000,1400.000
STOP,1700.000,1700.000,1700.000,1700.000
HORIZONTAL SCALE,nm,nm,nm,nm
LENGTH (pts),1001,1001,1001,1001
RBW (nm),0.10,0.10,0.10,0.10
VBW (Hz),194,194,194,194

REFERENCE LEVEL (dBm),-30.00,-30.00,-30.00,-47.00
VERTICAL SCALE,dBm,dBm,dBm,dBm
SENSITIVITY (dBm),-72.21,-72.21,-72.21,-72.21

AVERAGING,OFF,OFF,OFF,OFF
MIN,OFF,OFF,OFF,OFF
MAX,OFF,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000,0.000

INDEX,A,B,C,D
1,-51.503,-52.783,-52.288,-52.577
2,-51.711,-52.951,-52.680,-52.700
3,-51.787,-52.974,-52.213,-52.655
4,-51.654,-53.151,-51.793,-52.753
5,-51.543,-53.165,-51.699,-52.779
6,-51.589,-52.965,-51.734,-52.560
7,-51.748,-52.938,-52.148,-52.554
8,-51.928,-52.891,-52.160,-52.604
9,-51.452,-53.139,-52.265,-52.579
10,-51.642,-53.238,-52.440,-53.023
11,-51.813,-52.951,-51.952,-52.593
12,-51.603,-52.797,-52.225,-52.671
13,-51.668,-53.135,-52.165,-52.737
14,-51.612,-52.994,-52.369,-52.820
15,-51.821,-53.118,-52.105,-52.931
16,-51.913,-53.089,-52.307,-52.873
17,-51.540,-52.791,-51.997,-52.258
18,-52.057,-53.443,-52.484,-53.369
19,-51.744,-52.935,-51.390,-52.600
20,-51.537,-52.839,-51.471,-52.532
21,-51.645,-53.300,-52.964,-52.623
22,-51.410,-52.721,-52.748,-52.482
23,-51.535,-52.788,-51.954,-52.651
24,-51.661,-53.057,-51.742,-52.680
25,-51.416,-52.849,-51.251,-52.648
26,-51.397,-52.690,-51.280,-52.328
27,-51.252,-52.830,-52.070,-52.255
28,-51.274,-52.396,-52.121,-52.398
29,-51.434,-52.756,-52.325,-52.271
30,-51.032,-52.762,-51.639,-52.390
31,-51.152,-52.243,-50.902,-51.951
32,-51.321,-52.619,-51.123,-52.237
33,-51.079,-52.692,-51.489,-52.227
34,-50.983,-52.233,-51.878,-51.944
35,-50.953,-52.282,-52.264,-52.062
36,-50.717,-52.120,-51.501,-51.798
37,-50.764,-52.384,-50.856,-51.728
38,-50.569,-52.084,-50.517,-51.860
39,-50.521,-51.849,-50.216,-51.536
40,-50.623,-52.185,-51.339,-51.899
41,-50.464,-51.867,-51.256,-51.564
42,-50.296,-51.818,-51.923,-51.588
43,-50.514,-51.868,-50.778,-51.380
44,-50.026,-51.676,-49.973,-51.308
45,-50.055,-51.485,-49.804,-51.268
46,-50.073,-51.658,-50.202,-51.311
47,-49.996,-51.419,-50.979,-51.044
48,-50.060,-51.616,-51.467,-51.158
49,-49.732,-51.044,-50.856,-50.923
50,-49.647,-51.254,-49.969,-50.935
51,-49.886,-51.440,-49.620,-51.067
52,-49.421,-51.045,-49.251,-50.957
53,-49.484,-51.014,-49.894,-50.658
